时间,预测电价 (元/kWh),光伏发电量 (kW),总负荷 (kW),计划充放电量 (kW),计划净交易功率 (kW)
00:00,0.4,0.0,192.6,192.6,0.0
00:15,0.4,0.0,252.4,200.0,-52.4
00:30,0.4,0.0,201.2,200.0,-1.2
00:45,0.4,0.0,223.8,200.0,-23.8
01:00,0.4,0.0,204.5,200.0,-4.5
01:15,0.4,0.0,188.8,7.4,-181.4
01:30,0.4,0.0,254.4,0.0,-254.4
01:45,0.4,0.0,286.6,0.0,-286.6
02:00,0.4,0.0,255.4,0.0,-255.4
02:15,0.4,0.0,146.7,0.0,-146.7
02:30,0.4,0.0,246.8,0.0,-246.8
02:45,0.4,0.0,231.5,0.0,-231.5
03:00,0.4,0.0,236.6,0.0,-236.6
03:15,0.4,0.0,174.8,0.0,-174.8
03:30,0.4,0.0,197.3,0.0,-197.3
03:45,0.4,0.0,226.0,0.0,-226.0
04:00,0.4,0.0,273.9,0.0,-273.9
04:15,0.4,0.0,212.6,0.0,-212.6
04:30,0.4,0.0,169.2,0.0,-169.2
04:45,0.4,0.0,225.9,0.0,-225.9
05:00,0.4,0.0,183.9,0.0,-183.9
05:15,0.4,0.0,154.4,0.0,-154.4
05:30,0.4,0.0,258.5,0.0,-258.5
05:45,0.4,0.0,248.7,0.0,-248.7
06:00,0.4,0.0,132.6,0.0,-132.6
06:15,0.4,68.7,156.1,0.0,-87.4
06:30,0.4,129.3,140.0,0.0,-10.7
06:45,0.4,188.8,222.5,0.0,-33.8
07:00,1.0,252.3,552.6,0.0,-300.3
07:15,1.0,336.6,552.5,0.0,-215.8
07:30,1.0,392.6,579.1,0.0,-186.5
07:45,1.0,484.8,571.8,0.0,-87.0
08:00,1.0,482.4,576.2,0.0,-93.8
08:15,1.0,599.1,582.2,-16.9,0.0
08:30,1.0,608.4,518.4,-90.0,0.0
08:45,1.0,643.6,578.6,-65.1,0.0
09:00,0.8,760.0,164.5,-200.0,376.3
09:15,0.8,814.0,261.2,-200.0,333.6
09:30,0.8,724.8,116.3,-200.0,389.4
09:45,0.8,859.9,159.5,-200.0,481.3
10:00,0.8,927.0,196.2,-200.0,511.6
10:15,0.8,883.4,206.8,-200.0,457.4
10:30,0.8,977.5,270.7,-200.0,487.7
10:45,0.8,860.2,217.0,-200.0,424.0
11:00,0.8,1000.0,202.3,-200.0,578.5
11:15,0.8,1000.0,220.7,-28.1,732.1
11:30,0.8,923.2,214.3,-0.0,689.7
11:45,0.8,1000.0,148.7,-0.0,832.2
12:00,0.6,1000.0,351.5,-0.0,629.3
12:15,0.6,1000.0,313.0,-0.0,667.9
12:30,0.6,996.8,310.1,-0.0,667.5
12:45,0.6,895.6,388.7,-0.0,487.7
13:00,0.6,1000.0,190.5,-0.0,790.3
13:15,0.6,948.4,177.7,-0.0,751.5
13:30,0.6,855.9,203.8,-0.0,632.9
13:45,0.6,912.5,241.4,-0.0,652.0
14:00,0.9,910.1,304.8,-0.0,586.1
14:15,0.9,875.7,142.0,-0.0,714.5
14:30,0.9,747.2,181.6,-0.0,546.4
14:45,0.9,719.9,278.0,-0.0,422.7
15:00,0.9,767.0,199.4,-0.0,548.5
15:15,0.9,627.1,132.9,-0.0,475.0
15:30,0.9,641.9,178.5,-0.0,444.2
15:45,0.9,586.1,164.7,-0.0,402.2
16:00,0.9,471.0,233.3,-0.0,218.5
16:15,0.9,423.7,182.6,-0.0,222.0
16:30,0.9,372.5,194.2,-0.0,159.1
16:45,0.9,348.0,235.1,-0.0,93.8
17:00,0.9,284.0,191.1,-0.0,73.7
17:15,0.9,186.8,127.6,-0.0,40.0
17:30,0.9,131.2,242.8,200.0,69.3
17:45,0.9,69.6,187.7,200.0,62.7
18:00,1.2,0.0,583.5,200.0,-383.5
18:15,1.2,0.0,567.8,200.0,-367.8
18:30,1.2,0.0,602.2,200.0,-402.2
18:45,1.2,0.0,618.3,200.0,-418.3
19:00,1.2,0.0,642.1,200.0,-442.1
19:15,1.2,0.0,654.8,200.0,-454.8
19:30,1.2,0.0,508.1,200.0,-308.1
19:45,1.2,0.0,616.6,200.0,-416.6
20:00,1.0,0.0,639.8,0.0,-639.8
20:15,1.0,0.0,607.9,0.0,-607.9
20:30,1.0,0.0,656.8,0.0,-656.8
20:45,1.0,0.0,657.0,0.0,-657.0
21:00,1.0,0.0,665.6,0.0,-665.6
21:15,1.0,0.0,615.4,0.0,-615.4
21:30,1.0,0.0,592.0,0.0,-592.0
21:45,1.0,0.0,722.1,0.0,-722.1
22:00,0.4,0.0,215.7,0.0,-215.7
22:15,0.4,0.0,215.2,0.0,-215.2
22:30,0.4,0.0,197.4,0.0,-197.4
22:45,0.4,0.0,287.8,0.0,-287.8
23:00,0.4,0.0,262.8,0.0,-262.8
23:15,0.4,0.0,131.4,0.0,-131.4
23:30,0.4,0.0,230.3,0.0,-230.3
23:45,0.4,0.0,195.9,0.0,-195.9
